"Species","Plant.ID","Seed.estimate","Notes","plot","EG.adult","EG.seed","SP.adult","SP.seed","BH","BD","Avena","FEMY","BRADIS","Forb","Fabaceae","GAST","Density","BG.spp","rust","prop.dam.mini","mean.dam.mini","treat","prop.dam","mean.dam"
"EG","X776",0,"",72,1,4,1,5,4,1,8,0,240,4,29,0,40,"SP seed","1",NA,NA,"ambient",0.666666666666667,0.00666666666666667
"SP","X674",0,"",72,1,4,1,5,4,1,8,0,240,4,29,0,40,"SP seed","0",NA,NA,"ambient",0.333333333333333,0.00333333333333333
"SP","X676",0,"",72,1,4,1,5,4,1,8,0,240,4,29,0,40,"SP seed","0",NA,NA,"ambient",1,0.007
"EG","X782",0,"",73,1,8,1,0,17,4,18,0,75,30,26,0,40,"EG seed","0",NA,NA,"fungicide",0.333333333333333,0.000333333333333333
"SP","X781",0,"",73,1,8,1,0,17,4,18,0,75,30,26,0,40,"EG seed","0",NA,NA,"fungicide",0.666666666666667,0.00666666666666667
"EG","X691",0,"",74,1,0,1,0,3,3,17,0,135,11,4,0,10,"EG seed","0",NA,NA,"ambient",0.666666666666667,0.00366666666666667
"EG","X692",0,"",75,1,5,1,0,380,1,4,40,11.6666666666667,94.4444444444444,15,0,40,"BH seed","0",NA,NA,"fungicide",0.666666666666667,0.000666666666666667
"EG","X699",0,"",76,1,60,3,3,16.6666666666667,1,3,0,120,150,8,0,20,"EG seed","0",NA,NA,"inoculation",0.666666666666667,0.00366666666666667
"SP","X700",0,"",76,1,60,3,3,16.6666666666667,1,3,0,120,150,8,0,20,"EG seed","0",NA,NA,"inoculation",1,0.0055
"EG","X705",0,"",77,1,3,1,1,50,1,5,0,150,27.7777777777778,3,0,20,"SP seed","0",NA,NA,"fungicide",0.666666666666667,0.00366666666666667
"SP","X706",0,"",77,1,3,1,1,50,1,5,0,150,27.7777777777778,3,0,20,"SP seed","0",NA,NA,"fungicide",0,0
